date,original_box_price,bulk_price
2021-03-03,3180,2450
2021-03-04,3180,2450
2021-03-05,3180,2450
2021-03-06,3200,2460
2021-03-07,3200,2460
2021-03-08,3180,2460
2021-03-09,3220,2470
2021-03-10,3220,2450
2021-03-11,3230,2450
2021-03-12,3220,2450
2021-03-13,3220,2450
2021-03-14,3220,2460
2021-03-15,3230,2470
2021-03-16,3220,2470
2021-03-17,3220,2470
2021-03-18,3200,2470
2021-03-19,3200,2470
2021-03-20,3200,2470
2021-03-21,3230,2475
2021-03-22,3230,2460
2021-03-23,3230,2475
2021-03-24,3220,2475
2021-03-25,3220,2475
2021-03-26,3240,2475
2021-03-27,3200,2470
2021-03-28,3230,2470
2021-03-29,3190,2460
2021-03-30,3190,2460
2021-03-31,3200,2465
2021-04-01,3220,2465
2021-04-02,3200,2470
2021-04-03,3200,2470
2021-04-04,3200,2460
2021-04-05,3200,2460
2021-04-06,3200,2460
2021-04-07,3200,2460
2021-04-08,3200,2460
2021-04-09,3220,2470
2021-04-10,3240,2470
2021-04-11,3230,2470
2021-04-12,3220,2480
2021-04-13,3220,2480
2021-04-14,3200,2470
2021-04-15,3230,2480
2021-04-16,3240,2480
2021-04-17,3220,2480
2021-04-18,3220,2490
2021-04-19,3220,2500
2021-04-20,3220,2520
2021-04-21,3210,2510
2021-04-22,3230,2510
2021-04-23,3230,2510
2021-04-24,3230,2530
2021-04-25,3210,2530
2021-04-26,3240,2530
2021-04-27,3250,2550
2021-04-28,3240,2550
2021-04-29,3220,2560
2021-04-30,3280,2560
2021-05-01,3280,2560
2021-05-02,3260,2565
2021-05-03,3260,2565
2021-05-05,3230,2560
2021-05-06,3230,2560
2021-05-07,3240,2560
2021-05-08,3260,2570
2021-05-09,3250,2590
2021-05-10,3250,2600
2021-05-13,3250,2630
2021-05-14,3250,2645
2021-05-15,3250,2660
2021-05-16,3250,2675
2021-05-17,3250,2705
2021-05-18,3260,2710
2021-05-19,3260,2710
2021-05-20,3260,2710
2021-05-21,3260,2710
2021-05-22,3260,2710
2021-05-23,3260,2710
2021-05-24,3260,2710
2021-05-25,3260,2715
2021-05-26,3260,2715
2021-05-27,3250,2710
2021-05-28,3250,2720
2021-05-29,3250,2725
2021-05-30,3250,2720
2021-05-31,3270,2710
2021-06-01,3270,2710
2021-06-02,3300,2710
2021-06-03,3330,2745
2021-06-04,3330,2750
2021-06-05,3330,2750
2021-06-06,3360,2765
2021-06-07,3360,2765
2021-06-08,3380,2775
2021-06-09,3380,2780
2021-06-10,3440,2780
2021-06-11,3440,2780
2021-06-12,3430,2770
2021-06-13,3430,2770
2021-06-14,3430,2750
2021-06-15,3400,2750
2021-06-16,3380,2745
2021-06-17,3390,2760
2021-06-18,3450,2780
2021-06-19,3440,2780
2021-06-20,3420,2780
2021-06-21,3430,2780
2021-06-22,3430,2765
2021-06-23,3430,2765
2021-06-24,3430,2760
2021-06-25,3420,2760
2021-06-26,3440,2760
2021-06-27,3420,2730
2021-06-28,3440,2730
2021-06-29,3440,2730
2021-06-30,3440,2740
2021-07-01,3440,2750
2021-07-02,3430,2750
2021-07-03,3440,2750
2021-07-04,3450,2765
2021-07-05,3475,2770
2021-07-07,3495,2785
2021-07-08,3500,2790
2021-07-09,3500,2790
2021-07-10,3530,2800
2021-07-11,3530,2790
2021-07-12,3550,2790
2021-07-13,3550,2790
2021-07-14,3550,2785
2021-07-15,3550,2810
2021-07-16,3550,2840
2021-07-17,3550,2860
2021-07-18,3630,2890
2021-07-19,3630,2910
2021-07-20,3640,2920
2021-07-22,3750,2980
2021-07-23,3750,3010
2021-07-24,3750,2990
2021-07-25,3750,2970
2021-07-26,3750,3000
2021-07-27,3750,2970
2021-07-28,3750,3000
2021-07-29,3770,2990
2021-07-30,3770,3010
2021-07-31,3770,3020
2021-08-04,3770,2980
2021-08-05,3770,2990
2021-08-06,3770,3000
2021-08-07,3770,3010
2021-08-08,3770,3010
2021-08-09,3820,3010
2021-08-10,3820,3010
2021-08-11,3780,3000
2021-08-13,3800,3000
2021-08-14,3800,3010
2021-08-15,3800,3030
2021-08-16,3800,3050
2021-08-17,3830,3080
2021-08-18,3840,3120
2021-08-19,3850,3130
2021-08-21,3870,3160
2021-08-22,3870,3130
2021-08-23,3850,3130
2021-08-24,3850,3030
2021-08-25,3850,2950
2021-08-26,3760,2780
2021-08-27,3750,2800
2021-08-28,3810,2950
2021-08-29,3810,2990
2021-08-31,3840,2930
2021-09-01,3840,2960
2021-09-02,3840,2950
2021-09-03,3840,2960
2021-09-04,3860,2990
2021-09-07,3860,3000
2021-09-09,3850,3030
2021-09-10,3850,3050
2021-09-11,3850,3040
2021-09-12,3850,3030
2021-09-13,3850,3010
2021-09-15,3850,2950
2021-09-16,3850,2990
2021-09-17,3850,2980
2021-09-18,3850,2930
2021-09-19,3840,2880
2021-09-20,3840,2820
2021-09-21,3840,2830
2021-09-22,3840,2850
2021-09-23,3840,2860
2021-09-24,3840,2860
2021-09-25,3840,2860
2021-09-26,3840,2880
2021-09-27,3840,2720
2021-09-28,3840,2720
2021-09-29,3840,2720
2021-09-30,3830,2765
2021-10-01,3820,2750
2021-10-02,3820,2730
2021-10-03,3820,2730
2021-10-04,3820,2750
2021-10-05,3820,2780
2021-10-06,3820,2800
2021-10-07,3820,2770
2021-10-08,3820,2775
2021-10-09,3820,2765
2021-10-10,3820,2760
2021-10-11,3820,2750
2021-10-12,3800,2780
2021-10-13,3800,2780
2021-10-14,3800,2780
2021-10-15,3800,2825
2021-10-16,3800,2825
2021-10-17,3800,2825
2021-10-18,3800,2840
2021-10-19,3780,2840
2021-10-20,3780,2860
2021-10-21,3780,2825
2021-10-22,3780,2825
2021-10-23,3760,2825
2021-10-24,3750,2800
2021-10-25,3750,2790
2021-10-26,3750,2790
2021-10-27,3750,2770
2021-10-28,3650,2740
2021-10-29,3650,2730
2021-10-30,3550,2700
2021-10-31,3550,2670
2021-11-01,3400,2660
2021-11-02,3400,2680
2021-11-03,3400,2680
2021-11-04,3430,2680
2021-11-05,3450,2700
2021-11-06,3400,2685
2021-11-07,3400,2680
2021-11-08,3430,2680
2021-11-09,3430,2680
2021-11-10,3430,2680
2021-11-11,3430,2645
2021-11-12,3430,2645
2021-11-13,3430,2630
2021-11-14,3430,2620
2021-11-15,3430,2620
2021-11-16,3430,2620
2021-11-17,3430,2630
2021-11-18,3500,2720
2021-11-19,3500,2690
2021-11-20,3500,2680
2021-11-21,3450,2680
2021-11-22,3450,2680
2021-11-23,3500,2700
2021-11-24,3500,2710
2021-11-25,3500,2670
2021-11-26,3530,2670
2021-11-27,3550,2650
2021-11-28,3550,2590
2021-11-29,3550,2560
2021-11-30,3550,2550
2021-12-01,3500,2600
2021-12-02,3500,2650
2021-12-03,3500,2600
2021-12-04,3530,2630
2021-12-05,3530,2660
2021-12-06,3530,2660
2021-12-07,3530,2650
2021-12-08,3550,2660
2021-12-09,3550,2660
2021-12-10,3550,2700
2021-12-11,3520,2680
2021-12-12,3520,2680
2021-12-13,3250,2660
2021-12-14,3200,2650
2021-12-15,3200,2650
2021-12-16,3250,2680
2021-12-17,3250,2690
2021-12-18,3250,2685
2021-12-19,3250,2685
2021-12-20,3250,2685
2021-12-21,3250,2685
2021-12-22,3220,2685
2021-12-23,3220,2695
2021-12-24,3220,2710
2021-12-25,3250,2730
2021-12-26,3330,2780
2021-12-27,3330,2780
2021-12-28,3330,2760
2021-12-29,3280,2750
2021-12-30,3270,2740
2021-12-31,3270,2740
2022-01-01,3260,2740
2022-01-02,3250,2720
2022-01-03,3270,2750
2022-01-04,3260,2750
2022-01-05,3280,2760
2022-01-06,3280,2790
2022-01-07,3300,2790
2022-01-08,3285,2790
2022-01-09,3285,2790
2022-01-10,3280,2780
2022-01-11,3280,2780
2022-01-12,3250,2760
